"","CTRL_1","CTRL_2","CTRL_3","RBM47KD_1","RBM47KD_2","RBM47KD_3"
"ACP1",3536.52847874056,3549.88488811659,3548.42767929382,3046.09689569989,2978.09396104234,3113.14272594984
"ACP2",468.982403209487,518.603498662035,452.324969144376,402.831989343421,430.490493324129,455.222736051349
"ACP3",199.641349868563,232.62294223978,246.248451621429,266.997243844935,231.250343144715,279.358362613836
"ACP5",314.455215022875,326.052819935058,310.297797713389,268.910438202941,187.314929292549,242.98901529928
"ACP6",2482.93474144635,2547.61771364007,2475.90055665218,2475.18972379429,2378.14931634699,2501.86136009574
"ACP7",41.800279706366,45.4176812793264,48.5401553220029,67.2087198129431,55.6948318673893,56.4040419129599
"ACR",3.31542222402327,5.86538660509352,8.68829983221722,2.17175326166489,7.84927361724444,7.87467814156754
"ACRBP",11.4417151697447,26.3738689442967,11.2944059268007,24.6085948021046,22.1658892581827,9.43719932988489
"ACSBG1",81.9502752348934,70.431666626715,81.9852652180797,80.5168053674225,131.66063967669,115.390619347335
"ACSBG2",16.5261340431431,11.1975571662737,17.3841093536005,8.13484529594659,18.8163709570617,8.51572628226649
"ACSF2",1000.02786116185,1096.03869927174,994.049270476979,1063.45005325693,1132.35465159113,1046.53781291799
"ACSF3",1477.72928382705,1395.58754834823,1176.31618151907,1338.54844508745,1127.24848545838,1147.09481169007
"ACSL1",3275.77845514492,3531.25346885236,3391.54490654318,3278.3218282745,3313.57279261528,3562.19343245779
"ACSL3",5331.9049671611,5298.46268591308,5469.43717013835,4579.63277197013,4435.64150095593,5432.6222084559
"ACSL4",2406.38334821977,2510.48199545406,2295.52341509156,1905.2181163139,1907.44951621442,1902.78544661747
"ACSL5",47.1329692654836,27.7501668517213,24.6760388270774,28.2567872440505,28.4249977271184,31.1913018256087
"ACSL6",51.1579471967032,67.6788765903713,56.4062097225536,73.8604710202556,83.6343365994659,59.243297473769
"ACSM2A",72.2856033888398,54.0996258610338,75.3554781630114,69.1142832378002,53.4764650854508,62.1628536831546
"ACSM2B",1.22300601881128,1.45892269844898,23.3353124057997,31.2582633999775,57.4744726464746,44.9633869917738
"ACSM3",381.363606164658,404.603411515246,460.870392148722,456.02122226058,639.313797772744,472.451935396659
"ACSM6",15.8502410607878,13.8752951562979,20.8300435211916,13.8440480807905,8.81397931757224,14.0653884108932
"ACSS1",91.2922087578078,86.6092383829662,83.7775870661194,72.2765244368995,75.4705283785727,75.5580016997113
"ACSS2",457.123904546309,503.265776103291,526.336630708298,509.67175584663,640.691468189798,629.993084710474
"ACTA1",1.05972054065949,3.88864151237087,0,2.31317704811169,2.23282102210553,0
"ACTA2",101.234961704022,89.2547039392341,96.0100890306408,94.1379408546213,95.5608479775387,84.7043959479899
"ACTB",324.521305606124,367.191473311894,417.424328061141,373.778911491204,307.189658564349,491.68250391196
"ACTBL2",59.2261107062311,74.4452549846408,45.5386928970731,34.7083046259177,62.7260780393925,34.3497590897576
"ACTBP11",5.83678207369585,3.99453225007052,2.84641339383691,2.11801067396567,4.1023862874482,4.9944814775379
"ACTBP15",0.975202831151231,2.00557462020007,3.77596293911407,3.18158826615348,2.03896163443395,1.00190537238796
"ACTBP2",3.89786627174471,4.99114504513633,4.71237627435865,2.11524415682305,6.16168411326069,6.02567183316223
"ACTBP7",2.93011211229866,2.00676169204431,1.88257490108199,6.36738887433402,5.11353877330534,1.99764018073178
"ACTE1P",106.370992105278,92.2989704919947,118.458653977567,112.523902363309,109.069806747389,117.441613974703
"ACTG1",14730.9434213586,14588.1762405432,15284.0887449353,11370.723956841,13409.7123836226,12651.1739091731
"ACTG1P1",15.7075978669321,11.0079789134478,17.0225849809262,13.7479211192598,8.21175622567523,9.91522463721233
"ACTG1P14",8.78478632176143,4.02070837526163,3.74859699061793,4.24289598706148,9.20352258828556,8.02113790101275
"ACTG1P16",3.92551927584054,7.05974900809711,0,0,4.09109124878163,0.990491785109787
"ACTG1P17",30.3366074017077,31.5663285211544,33.8880170995836,32.4183265543884,31.0349936849073,24.8335954224399
"ACTG1P2",6.81604523082234,0.995794810005662,5.66576913587641,8.44809675640563,2.07003099911357,4.99622919262414
"ACTG1P20",18.4911052169628,24.0272528245096,23.4784857351322,20.0695960409706,20.6489438681194,25.052721494646
"ACTG1P24",11.6490662583051,6.96840759241451,10.4067216002802,12.6432085844838,14.465690944978,12.0566711786105
"ACTG1P25",3.91514006019987,2.00624228386287,5.68959247116973,4.25442130279113,4.08236815581316,3.9578260830731
"ACTG1P3",17.5337202549211,13.9647612930286,13.2890373917798,22.1550278631496,17.5135473650252,14.9637525114378
"ACTG1P9",8.8179122903659,8.98438523957118,8.55073360446267,12.6225688918761,10.2966148101003,17.8846953502549
"ACTL11P",53.0009709862671,36.031934601668,34.1291764945327,52.1304788559923,32.6646857945836,32.6280669242434
"ACTL6A",1623.83129050434,1486.40267026614,1486.73525209836,1621.06142838385,1465.56984798282,1549.27459180982
"ACTN1",3537.21412170651,3351.91503813611,3515.58432395364,4017.8937096786,4169.11954956126,4094.01996647512
"ACTN4",17092.7464906513,18545.7522602257,17861.510313163,18877.3140352747,18880.0150658204,16616.4115218165
"ACTR10",1556.81229732541,1576.0247529538,1414.7925919965,1565.79419918924,1263.48831948965,1531.45585973639
"ACTR1A",1377.47040139642,1309.29410816095,1348.77602901811,1136.48108343053,1194.29263428773,999.786082169892
"ACTR1B",1879.41245756029,1810.14749697168,1908.70117978583,1916.79171870921,1845.0260068752,1663.88288957599
"ACTR2",12411.1696410363,12892.281188914,13046.7385224286,11181.3139901124,11761.5245018085,12235.9171997473
"ACTR3",7540.4896195623,8342.27049033372,7976.86838061403,7133.90924133656,6902.25131032032,8020.42134826694
"ACTR3B",767.237338223469,753.695048060394,785.261639455072,733.719569467737,812.420758566022,706.560663509656
"ACTR3C",664.115774702264,680.182352162648,674.283912619307,819.451180724641,750.490450445301,749.944453582318
"ACTR5",324.061802425712,328.71818018368,329.517077011553,321.120074301652,293.499329599627,310.7601584678
"ACTR6",1298.39015245829,1432.60861259486,1247.67905645631,1431.52397013025,1327.85223715368,1318.98959041661
"ACTR8",1200.3388924945,1078.07475152521,1153.10654311138,1060.55689211718,1125.06909147761,975.626975952414
"ACTRT3",33.3863228404501,43.158148877061,37.7287147982967,40.9985958435418,48.1692480188963,45.92883211587
"ACVR1",1390.19732329178,1387.08070250349,1243.48227732442,1089.44597958283,1061.3268384613,1100.99405413326
"ACVR1B",974.749564901645,909.914354496396,874.098374489233,749.668757994206,711.785995300228,751.389026901669
"ACVR1C",89.4639287764781,100.45059563976,51.4338568330684,88.2475789297119,109.251640293178,110.856385687769
"ACVR2A",899.067091293919,864.090503015782,870.607693379244,705.353919431087,698.507871974993,800.358618378902
"ACVR2B",2156.64705107151,2191.139503693,2207.50548663231,2137.05112241183,2135.39012433471,2127.44010923943
"ACY1",572.135678007119,599.688178789579,656.973650288756,564.193340304936,569.173864942177,502.811911764771
"ACY3",6.77758583542529,5.9754528589175,6.52567670180063,18.0041544324729,15.3733083164396,13.3235326807878
"ACYP1",249.350569708618,228.846982159671,252.920557561531,275.055032750508,266.895167268392,257.304571609995
"ACYP2",181.669995284224,184.941241854345,179.827615280099,158.748491986082,186.80831130735,173.83185251167
"ADA",235.059733608564,217.628352098403,270.785091378921,285.05446302454,284.497284018786,222.469907566791
"ADA2",14.8789277671565,20.6046858623973,24.148503230135,30.3647662098106,12.203609874132,20.0616692879538
"ADAL",401.788652172771,392.850355770103,354.755176643544,412.89722931632,368.988315714274,426.929062312424
"ADAM10",13934.8870813809,14269.9698516335,13402.9576326113,12819.9350874127,13021.8232936574,12800.0254361133
"ADAM11",6.91994748472019,10.135655341876,11.181254428115,36.5516307928605,20.9099884230161,20.4329511506221
"ADAM12",8.38521422706269,5.14737336606902,12.447585738264,21.4753410603351,12.7636954653892,8.38077302171611
"ADAM15",6930.05376848076,6964.14250766849,7477.16071980741,8022.7463725058,7797.39629459447,7412.96652140875
"ADAM17",8152.21895570856,7892.44482827021,7814.94031670925,7674.59466988362,7718.7526174001,8149.54064729861
"ADAM19",1584.94610476188,1559.12672134374,1606.65312036513,1784.64563219271,1829.31984185664,1744.7517056899
"ADAM1B",0.990000268128282,2.01690900862588,2.85945718297442,0,3.08730799582845,1.94476017467166
"ADAM2",6.55518423718619,1.95746884502603,12.8308905806746,0.506666608141281,6.94424233627296,3.53546252964822
"ADAM20",12.8177684334373,9.02364458186171,13.3009833353069,11.5441375185122,10.3101249964107,11.8082150687626
"ADAM21",11.8342765496954,12.054875578116,14.1868587444735,6.2888715910808,8.22463917874081,9.90409315163057
"ADAM21P1",0,3.01068601548774,3.77761483952173,4.18689061130721,1.02961555979605,0.993205059447089
"ADAM22",405.447649613893,487.039839749014,380.49748415538,659.299737862493,917.232504999038,769.635861044333
"ADAM23",24.8645731476266,7.76066233307011,8.75937961574791,12.0704397203577,3.98079298445034,6.91482622277233
"ADAM28",5433.26973387983,5532.36800459116,5021.08182974956,4041.9479445255,4352.53272791794,5007.42811552318
"ADAM29",23.6597351539265,12.3145429403462,12.7198770166815,8.13387067768457,12.6516169315398,16.9638800386126
"ADAM32",577.780788044432,531.058910330821,557.126752064262,640.795102785993,675.60412206859,649.056109749367
"ADAM3A",13.7348285762601,7.99487461023231,14.1755324684868,13.4594612072711,20.6900444821744,30.2301640350542
"ADAM8",2703.84227388829,2745.89472920413,2872.14341695939,2503.42098833499,2576.80707064142,2489.46070784922
"ADAM9",22411.8344967511,24269.7398790729,26595.4424120319,14992.7277321223,15171.2509895354,17230.8800170419
"ADAMDEC1",10.2553266543626,0,2.37066293163598,1.74111705320923,0.855695696014675,0
